date,retail_sales,gold_price,gold_price_mom,gold_price_yoy,gold_volatility_1m,gold_volatility_3m,gold_price_30d_avg,gold_price_90d_avg,gold_price_180d_avg,gold_trend,oil_price,oil_price_mom,oil_price_yoy,oil_volatility_1m,oil_volatility_3m,oil_price_30d_avg,oil_price_90d_avg,oil_price_180d_avg,oil_momentum,gdp_growth,inflation,interest_rate,unemployment
2005-06-30,,18761.52,2.283863792483088,5.053468779361903,1061.0671777816065,2671.4071293726984,17910.740666666665,14556.415383333331,13104.46139611111,4806.279270555555,53.864414393939356,8.260895500595577,52.82583939397028,8.338208137299986,,35.25702568160887,,,,,,,
2005-07-01,,18614.795,0.359879056173146,2.8966524147774453,1057.7445171035906,2682.1962698037196,17933.528333333332,14590.051264444442,13134.374430166665,4799.153903166666,55.0080833333333,4.338591685430537,51.31489996845775,8.708355051732246,,35.6806179038311,,,,,,,
2005-07-29,,18468.07,-1.564105680136796,0.7398360501929879,1054.4218564255746,2692.9854102347413,17956.316,14623.687145555556,13164.28746422222,4792.0285357777775,57.528209848484806,6.7506707288029215,49.75972798423436,9.219930818081906,,36.15961716729911,,,,,,,
2005-08-01,,18784.655,0.932176096685694,1.8312717102984655,1058.6150625582059,2707.171653406339,17989.016,14661.997332777777,13191.335579916666,4797.680420083333,60.0483363636363,9.162749772175305,48.20455600001097,9.731506584431566,,36.63861643076712,,,,,,,
2005-08-31,,19101.24,3.428457873508184,2.922707370403943,1062.808268690837,2721.357896577936,18021.716,14700.30752,13218.383695611112,4803.332304388889,59.89377499999995,4.323979972262948,50.398588701936475,10.107408227374965,,37.15385266994461,,,,,,,
2005-09-01,,19564.25,4.1382076941541275,5.087978837093454,1065.2673824119877,2743.362993788358,18085.122666666663,14743.741913888889,13248.471427694443,4836.651238972222,59.7392136363636,-0.514789827649409,52.59262140386198,10.483309870318363,,37.6690889091221,,,,,,,
2005-09-30,,20027.26,4.847957514800072,7.253250303782965,1067.7264961331384,2765.3680909987797,18148.52933333333,14787.176307777778,13278.559159777777,4869.970173555555,58.0091377705627,-3.1534421841017846,41.17061204058543,10.58997918104508,,38.203496746423696,,,,,,,
2005-10-01,,20549.085,5.029552360578904,8.37235818300609,1073.7577050201548,2797.0741466962872,18240.606499999998,14836.812649444444,13312.10545688889,4928.50104311111,56.2790619047618,-5.79209454055416,29.74860267730888,10.696648491771798,,38.73790458372528,,,,,,,
2005-10-31,,21070.91,5.211147206357736,9.491466062229216,1079.7889139071715,2828.7802023937943,18332.683666666668,14886.44899111111,13345.651754000002,4987.031912666665,54.7114347023809,-5.68150095291613,33.184521532711486,10.69025449500584,,39.2071533929358,,,,,,,
2005-11-01,,21429.495000000003,4.307374806828834,9.697364272419684,1144.4883310627522,2866.7054641719715,18416.648166666666,14940.387200555555,13380.476336750002,5036.171829916666,53.1438075,-5.570907365278099,36.6204403881141,10.683860498239882,,39.67640220214632,,,,,,,
