date,gold_price,gold_price_mom,gold_price_yoy,gold_volatility_1m,gold_volatility_3m,gold_price_30d_avg,gold_price_90d_avg,gold_price_180d_avg,gold_trend
1990-08-31,9363.91835,14.805471749388134,48.64622154463816,697.2185700952538,1200.048594427592,6684.019033666667,5500.150158444445,5690.581896166667,4485.569818166668
1990-09-28,9195.67645,-1.7967040475101892,34.599370483995465,818.2469117709466,1252.7015919464466,6794.110262,5556.437813222223,5690.581896166667,4485.569818166668
1990-10-31,8994.243040000001,-2.1905230256334174,29.587791035648458,897.2532847086534,1295.9141763483387,6893.554276,5609.394353666668,5690.581896166667,4485.569818166668
1990-11-30,9251.230210000002,2.857240668915706,34.49575045583635,978.7606405965716,1341.6672760869114,7001.484541666667,5666.450443333334,5690.581896166667,4485.569818166668
1990-12-31,9294.47035,0.4673988109523019,34.79264257889347,1044.8553080202555,1385.083499459466,7111.513623333333,5723.725796555556,5690.581896166667,4485.569818166668
1991-01-31,9315.31898,0.2243121900969757,36.155652196530205,1097.127724748057,1425.8705253673436,7222.131653333334,5780.852597777778,5690.581896166667,4485.569818166668
1991-02-28,9171.68529,-1.5419084446638975,30.42548872254709,1131.4779255250266,1456.219860476184,7324.616773000001,5839.041164333334,5690.581896166667,4485.569818166668
1991-03-29,9185.50439,0.1506713277118931,34.10307713382523,1154.2541751759145,1484.990083308489,7429.143133666667,5896.619347666667,5690.581896166667,4485.569818166668
1991-04-30,9707.31422,5.680796697109858,38.60505856248975,1194.6334663570588,1524.6639013991537,7552.060389666668,5959.849793111112,5690.581896166667,4485.569818166668
1991-05-31,9751.61432,0.4563579482028901,36.47559814752239,1229.1241753064355,1562.6924809536413,7672.284284666667,6022.973090888889,5690.581896166667,4485.569818166668
1991-06-28,9601.93373,-1.5349313979021284,31.20947047688718,1261.777533643282,1593.9992124975106,7771.1147156666675,6084.047647222224,5690.581896166667,4485.569818166668
1991-07-31,9684.502100000002,0.8599139748489026,25.782919438889618,1297.4390121650838,1621.467175272748,7863.880648333334,6148.222689666668,5690.581896166667,4485.569818166668
1991-08-30,10051.55152,3.790070116253053,7.343434065718868,1344.455238724322,1653.5508060302984,7967.720101000001,6217.536796000001,5690.581896166667,4485.569818166668
1991-09-30,9712.612260000002,-3.3720093791052785,5.621509334422048,1369.7607820647063,1674.8962545406866,8056.0448516666675,6282.459621333333,5690.581896166667,4485.569818166668
1991-10-31,9788.5281,0.7816212360566288,8.831038437226834,1380.5124288822176,1694.957162136429,8158.8487073333345,6348.370245111111,5690.581896166667,4485.569818166668
1991-11-29,9776.51353,-0.1227413343176775,5.677983447349533,1372.88873359068,1714.379665693632,8269.148557,6412.491890777778,5690.581896166667,4485.569818166668
1991-12-31,9503.9261,-2.788186495763989,2.2535522962854992,1342.4572056266422,1724.1376979682025,8373.503356000001,6474.561102000001,5690.581896166667,4485.569818166668
1992-01-31,9655.009150000002,1.58969091731469,3.646575825576304,1291.9701010501162,1734.4412613207037,8491.369109666668,6538.394486888888,5690.581896166667,4485.569818166668
1992-02-28,9502.10913,-1.5836341284047428,3.6026513072822564,1235.699923630048,1737.4386931289007,8598.123877,6601.745969222222,5690.581896166667,4485.569818166668
1992-03-31,9852.04088,3.6826745011294015,7.256395094924128,1209.5930397680197,1747.0250531420386,8698.795684,6667.67526088889,5690.581896166667,4485.569818166668
1992-04-30,10427.47651,5.84077590632166,7.418759439312761,1202.330544183492,1766.114217966492,8815.023028000001,6740.269329111111,5690.581896166667,4485.569818166668
